,username,tweets_num,avg_tweet_len,avg_sentiment,avg_mentions,avg_replies,avg_retweets,avg_likes,avg_hashtags,community
104,olkainthewoods,709,72.54583921015515,0.07005171603196991,0.023977433004231313,0.616361071932299,0.5853314527503526,3.9435825105782794,0.018335684062059238,0
105,mariorebeliant,2568,103.38979750778816,0.027777777777777776,0.8590342679127726,0.5003894080996885,40.9154984423676,3.9517133956386292,0.2659657320872274,0
106,iwonawozniak3,130,139.76153846153846,0.014102564102564108,0.5538461538461539,0.1076923076923077,129.90769230769232,2.7,0.19230769230769232,0
107,angrygaysstrike,143,98.41258741258741,0.07692307692307693,0.17482517482517482,0.25874125874125875,3417.1608391608393,1.8741258741258742,0.04195804195804196,0
108,flawlessygomez,54,98.75925925925925,0.08641975308641975,0.5370370370370371,0.16666666666666666,1975.9814814814815,0.2777777777777778,0.12962962962962962,0
109,chlebpszenny,11,115.54545454545455,0.2121212121212121,0.6363636363636364,0.18181818181818182,2215.6363636363635,2.727272727272727,0.8181818181818182,1
110,krzysztofbosak,266,150.70676691729324,0.011090225563909772,0.9962406015037594,36.90601503759399,46.47744360902256,110.34962406015038,0.09022556390977443,1
111,bar1_h,213,82.29577464788733,-0.04147104851330203,0.596244131455399,0.07981220657276995,67.78873239436619,0.5117370892018779,0.08450704225352113,0
112,mojekontonatt,433,82.72748267898383,0.06620477290223248,0.44341801385681295,0.14087759815242495,3574.944572748268,0.5866050808314087,0.04849884526558892,0
113,ryszard98874704,205,97.79024390243903,-0.06146341463414634,0.45365853658536587,0.11707317073170732,78.87317073170732,0.5073170731707317,0.08780487804878048,0
114,namelessbetch,314,106.68152866242038,0.0865180467091295,0.8662420382165605,0.03821656050955414,11405.235668789808,0.27388535031847133,0.12420382165605096,0
115,kinga51939513,1,152.0,1.0,1.0,0.0,0.0,0.0,3.0,0
116,yodlowsky,397,95.40050377833754,0.05037783375314862,0.26700251889168763,0.48866498740554154,35.8992443324937,2.322418136020151,0.09319899244332494,0
117,larryforeverlof,39,113.33333333333333,-0.04273504273504274,0.5897435897435898,0.1282051282051282,6561.51282051282,0.8461538461538461,0.5897435897435898,0
118,nefele77,118,106.5,0.007344632768361582,0.635593220338983,0.03389830508474576,215.66949152542372,0.5,0.3305084745762712,0
119,andziulka78,1900,79.4257894736842,0.06228070175438597,0.07894736842105263,0.8368421052631579,10.982631578947368,2.515263157894737,0.022105263157894735,0
120,agu668,4,69.25,0.0,0.25,0.0,0.0,0.0,0.75,0
121,barcik75,1,152.0,1.0,1.0,0.0,0.0,1.0,3.0,0
122,timeissocruel,351,48.965811965811966,0.07407407407407407,0.09401709401709402,0.32763532763532766,9.735042735042734,2.3162393162393164,0.017094017094017096,0
123,blankade,333,125.30030030030031,0.06506506506506507,1.15015015015015,0.018018018018018018,172.35135135135135,0.03303303303303303,0.1891891891891892,0
124,kpolak3,595,118.96806722689075,0.004201680672268906,1.1680672268907564,0.005042016806722689,178.51764705882354,0.025210084033613446,0.1495798319327731,0
125,mira65437936,2283,127.48138414367061,0.048795444590451154,0.6513359614542269,0.6224266316250547,23.006132282084977,4.2303985983355235,0.11826544021024968,0
126,rychumotowidlak,290,117.84827586206896,0.07678160919540229,0.9689655172413794,0.08620689655172414,119.75862068965517,0.4517241379310345,0.3724137931034483,0
127,alessandre21,2,148.0,1.0,1.0,0.0,1.5,0.5,2.0,0
128,erdmanngrzegorz,697,96.08464849354375,0.0766618842659015,0.08895265423242468,0.430416068866571,13.592539454806312,2.317073170731707,0.028694404591104734,0
129,ofiszjalbekon,87,87.816091954023,0.026819923371647507,0.5057471264367817,0.09195402298850575,1410.6781609195402,0.27586206896551724,0.5632183908045977,0
